"","SITE","YEAR","MONTH","sd_TEMP","TEMP_C"
"1","ABUR","2002","08",1.05315197983526,14.7991496598639
"2","ABUR","2002","09",1.0088282591771,14.6117268518519
"3","ABUR","2002","10",0.687447792599627,15.4020053835801
"4","ABUR","2002","11",0.536438001749862,15.2172777777778
"5","ABUR","2002","12",0.808353292862581,14.974332437276
"6","ABUR","2003","01",0.338747744565054,14.9802576164875
"7","ABUR","2003","02",0.333813465623401,14.9187103174603
"8","ABUR","2003","03",1.48398134347258,12.9525009794959
"9","ABUR","2003","04",0.997311733853532,11.9434215413185
"10","ABUR","2003","05",1.22901610358363,12.4836514336918
"11","ABUR","2003","06",0.706045476369967,14.7761203703704
"12","ABUR","2003","07",1.44144939515095,15.8052688172043
"13","ABUR","2003","08",0.907703326736175,14.16710482099
"14","ABUR","2003","09",1.45646313421942,15.5530381944444
"15","ABUR","2003","10",1.22124968956094,16.4302960969044
"16","ABUR","2003","11",0.92425210782588,16.0324861111111
"17","ABUR","2003","12",0.572661102543484,14.1270497311828
"18","ABUR","2004","01",0.380552093418359,13.4471068548387
"19","ABUR","2004","02",0.461175339067541,12.9995114942529
"20","ABUR","2004","03",0.771261207692928,13.8179475100942
"21","ABUR","2004","04",1.41154362340347,13.8943028511822
"22","ABUR","2004","05",1.22647368945735,13.8071068548387
"23","ABUR","2004","06",1.69648688924483,15.2174652777778
"24","ABUR","2004","07",1.54783996707757,14.5945421903052
"25","ABUR","2004","08",1.30547296488988,15.9914784946237
"26","ABUR","2004","09",1.93849275225723,17.7612361111111
"27","ABUR","2004","10",0.741358759658152,17.3342025572005
"28","ABUR","2004","11",0.734300563626032,16.3309722222222
"29","ABUR","2004","12",0.296513698572782,14.875877016129
"30","ABUR","2005","01",0.242750612933346,14.5220094086022
"31","ABUR","2005","02",0.36568492202769,14.6182552083333
"32","ABUR","2005","03",1.54630078957952,14.0755921938089
"33","ABUR","2005","04",1.19841338364246,12.0711630737135
"34","ABUR","2005","05",1.22055038812984,12.9864452423698
"35","ABUR","2005","06",1.09781021116698,13.4216006944444
"36","ABUR","2005","07",1.76071530773239,14.6186997126437
"37","ABUR","2005","08",1.15367107429761,16.0587063172043
"38","ABUR","2005","09",1.040431862219,15.3370694444444
"39","ABUR","2005","10",0.888071103657588,14.9668758411844
"40","ABUR","2005","11",0.653256525358584,15.8955173611111
"41","ABUR","2005","12",0.327415742446135,14.8420430107527
"42","ABUR","2006","01",0.639039951483139,13.4896706989247
"43","ABUR","2006","02",0.513499329767869,13.4814099702381
"44","ABUR","2006","03",1.18826809264879,11.6876443001443
"45","ABUR","2006","04",0.707489060869011,12.3961804589708
"46","ABUR","2006","05",1.01363484329568,13.5132224462366
"47","ABUR","2006","06",0.720894551279122,14.3248125
"48","ABUR","2006","07",1.59054565493478,14.7833429084381
"49","ABUR","2006","08",1.18520422838431,16.3618817204301
"50","ABUR","2006","09",1.41218903246252,16.1432291666667
"51","ABUR","2006","10",0.79946568938105,16.6034488559892
"52","ABUR","2006","11",0.758151218570977,16.5752465277778
"53","ABUR","2006","12",0.616916662091059,14.9324899193548
"54","ABUR","2007","01",0.391614322629234,13.3963447037702
"55","ABUR","2007","02",0.687963483264838,13.6805394345238
"56","ABUR","2007","03",0.879848423945612,12.8010683041723
"57","ABUR","2007","04",1.29769967877778,12.5704895833333
"58","ABUR","2007","05",0.924848353560067,12.1670396505376
"59","ABUR","2007","06",1.64949878008231,14.7024236111111
"60","ABUR","2007","07",1.18891148564471,16.1900610412926
"61","ABUR","2007","08",1.29793401842003,15.4683635752688
"62","ABUR","2007","09",1.14726256616661,15.5004131944444
"63","ABUR","2007","10",1.40873705777509,13.8854704301075
"64","ABUR","2007","11",0.488439651822222,14.2931867176634
"65","ABUR","2007","12",0.613059898265274,13.0823219086022
"66","ABUR","2008","01",0.348521096519253,12.7783904569892
"67","ABUR","2008","02",0.468878503297747,12.5034770114943
"68","ABUR","2008","03",1.00366736443635,12.0666217188062
"69","ABUR","2008","04",0.979239364275162,11.7823333333333
"70","ABUR","2008","05",1.03081075121181,12.7414146505376
"71","ABUR","2008","06",1.12776956910663,14.0907604166667
"72","ABUR","2008","07",1.14937921839654,15.6125235215054
"73","ABUR","2008","08",0.863500701638325,17.3951652298851
"74","ABUR","2008","09",1.08092324891058,16.3793298611111
"75","ABUR","2008","10",1.00909805525957,15.5991717069892
"76","ABUR","2008","11",0.930375645953457,15.5038769123783
"77","ABUR","2008","12",1.24221602450224,13.9002585278276
"78","ABUR","2009","01",0.337073917646864,13.1905477150538
"79","ABUR","2009","02",0.522045751851183,12.7695944940476
"80","ABUR","2009","03",0.650400109664791,12.7618371467026
"81","ABUR","2009","04",0.937797452014292,12.2846423611111
"82","ABUR","2009","05",1.10336307944064,13.0559341397849
"83","ABUR","2009","06",1.13357532069053,14.512180293501
"84","ABUR","2009","07",0.776297385575549,14.4091941470378
"85","ABUR","2009","08",0.773698173790722,14.8204220430108
"86","ABUR","2009","09",0.859898538391586,16.9631576388889
"87","ABUR","2009","10",1.1268821621711,17.3529173387097
"88","ABUR","2009","11",0.715510096655859,15.790859527121
"89","ABUR","2009","12",0.43414436633095,14.3248602150538
"90","ABUR","2010","01",0.215802966842412,14.5582474713419
"91","ABUR","2010","02",0.318564003418069,14.3704057507987
"92","ABUR","2010","03",1.09642540521948,12.9284867092867
"93","ABUR","2010","04",1.1641886410311,12.5307177083333
"94","ABUR","2010","05",1.07183657999493,11.7713951612903
"95","ABUR","2010","06",1.27052067631478,15.0750996491228
