"","parameter","2.5%","50%","97.5%"
"1","b0.transect[1]",0.40287074099288,0.506658015555824,0.620199114508035
"2","b0.transect[2]",0.431985034197932,0.542254297245547,0.655538270442882
"3","b0.transect[3]",0.422377941329255,0.532945678222089,0.642117521764967
"4","b0.transect[4]",0.418733189994462,0.551408144391091,0.676329077791772
"5","b0.transect[5]",0.4099889343312,0.511183278907427,0.617793950944563
"6","b0.transect[6]",0.408993604466197,0.511281135144593,0.616823520464183
"7","b0.transect[7]",0.410087240261463,0.511632169651425,0.61863562776221
"8","b0.transect[8]",0.408018383201205,0.509640504807815,0.616455423571377
"9","b0.transect[9]",0.411130058981546,0.513389751474699,0.622549075656232
"10","b0.transect[10]",0.454524319295597,0.555567612910793,0.666502714529497
"11","b0.transect[11]",0.457485748018098,0.559847490401912,0.673188070744717
"12","b0.transect[12]",0.463485213443406,0.569275061713212,0.683114006511117
"13","b0.transect[13]",0.35658971048487,0.450681660150995,0.554010428965598
"14","b0.transect[14]",0.374617883786262,0.470197557580965,0.574011284058612
"15","b0.transect[15]",0.374553018645587,0.468679850190843,0.569037726179497
"16","b0.transect[16]",0.374698049707265,0.47347755074043,0.578645746745339
"17","b0.transect[17]",0.36938192234737,0.458744359526328,0.556045892302611
"18","b0.transect[18]",0.373022880450554,0.464479875692481,0.564026484986519
"19","b0.transect[19]",0.370790194579836,0.459474474071738,0.560134383905094
"20","b0.transect[20]",0.374472007779107,0.463672871413895,0.565594038340808
"21","b0.transect[21]",0.348946743812068,0.460182432084971,0.57665575991396
"22","b0.transect[22]",0.342957768557022,0.456578068880915,0.574575553302215
"23","b0.transect[23]",0.445869815100532,0.54196898951757,0.649445200058688
"24","b0.transect[24]",0.439041282774162,0.532701592364435,0.634661685791012
"25","b0.transect[25]",0.428710937786405,0.52803506447306,0.635211737127164
"26","b0.transect[26]",0.420590623119496,0.520773997144601,0.626973489088957
"27","b0.transect[27]",0.418477720530838,0.520750140452485,0.627829180747249
"28","b0.transect[28]",0.423689193064512,0.521140208995283,0.626461389673176
"29","b0.transect[29]",0.417443489024352,0.51909867471598,0.623071892992843
"30","b0.transect[30]",0.152481404018994,0.286399601294877,0.436745825280045
"31","b0.transect[31]",0.184134534055531,0.383728633098865,0.553452937781011
"32","b0.transect[32]",0.429400562992941,0.519386346145982,0.618175677577218
"33","b0.transect[33]",0.430629490048781,0.524359776191503,0.624275604406947
"34","b0.transect[34]",0.424765644697177,0.514132237849256,0.61373858828966
"35","b0.transect[35]",0.430912353781403,0.531922049358029,0.640099986041107
"36","b0.transect[36]",0.430951565301284,0.526564549579641,0.628964797422777
"37","b0.transect[37]",0.414716070068605,0.500535857952679,0.595421363373814
"38","b0.transect[38]",0.428630161673277,0.516497750140172,0.613937408731009
"39","b0.transect[39]",0.41356522080522,0.503308345530537,0.599148261884828
"40","b0.transect[40]",0.346900390064179,0.473627963216604,0.604599757737503
"41","b0.transect[41]",0.349286082585247,0.472527857174778,0.601258714152544
"42","b0.transect[42]",0.321921901977775,0.437462237001034,0.563309090945414
"43","b0.transect[43]",0.327491509977249,0.441048896146042,0.559664590566683
"44","b[1]",-0.0845390008357438,-0.00817571280243117,0.0660114869562014
"45","b[2]",0.180653021338094,0.227948712461947,0.276090807012219
"46","b[3]",-0.230859072671643,-0.152217734606632,-0.0720517861147288
"47","wA[1]",0.00115483457445652,0.0291055258985867,0.158905865857971
"48","wA[2]",0.00411219734337372,0.10669482243695,0.400287254105295
"49","wA[3]",0.0317619617140117,0.34674642174313,0.675563092487529
"50","wA[4]",0.00725361946981957,0.153157323670624,0.476116503047252
"51","wA[5]",0.00624959111916334,0.126506255614755,0.446791646794726
"52","wA[6]",0.00563808449313032,0.123614179607316,0.419649765393752
"53","wB[1]",0.00591203270702099,0.100492803018375,0.2764404627996
"54","wB[2]",0.0833114189050189,0.324845177485819,0.556778036625206
"55","wB[3]",0.196750131015712,0.352056371299983,0.539970949625908
"56","wB[4]",0.0251136410404157,0.18229229985437,0.349376778394188
"57","wB[5]",0.000296237345233422,0.00835481891547152,0.0432944695969172
"58","wB[6]",0.000361314555753373,0.0108577240235704,0.0547013663116364
"59","sig.transect",0.0003482514917523,0.0328528274792673,0.0703458967598918
"60","sig.site",0.0169959403072504,0.072424087081369,0.145516577961933
"61","var.process",0.000920523851858065,0.00128971208664802,0.00171857445988588
