"","siteID","yearID","tot_turnover","gain","loss","jaccard","SITE_TRANS","YEAR"
"1",9,2,0.285714285714286,0.166666666666667,0.111111111111111,0.714285714285714,"BULL_1",2001
"2",10,2,0.294117647058824,0.1875,0.111111111111111,0.705882352941177,"BULL_3",2001
"3",11,2,0.25,0.133333333333333,0.105263157894737,0.75,"BULL_6",2001
"4",23,2,0.235294117647059,0.176470588235294,0.0588235294117647,0.764705882352941,"NAPL_1",2001
"5",24,2,0.1875,0.117647058823529,0.0588235294117647,0.8125,"NAPL_2",2001
"6",25,2,0.307692307692308,0.214285714285714,0.0769230769230769,0.692307692307692,"NAPL_3",2001
"7",26,2,0.294117647058824,0.214285714285714,0.0714285714285714,0.705882352941177,"NAPL_4",2001
"8",27,2,0.294117647058824,0.214285714285714,0.0625,0.705882352941177,"NAPL_5",2001
"9",28,2,0.266666666666667,0.125,0.142857142857143,0.733333333333333,"NAPL_6",2001
"10",29,2,0.25,0.166666666666667,0.0666666666666667,0.75,"NAPL_7",2001
"11",30,2,0.277777777777778,0.2,0.0625,0.722222222222222,"NAPL_8",2001
"12",1,3,0.4375,0.125,0.3125,0.5625,"ABUR_1",2002
"13",2,3,0.545454545454545,0.0909090909090909,0.444444444444444,0.454545454545455,"ABUR_2",2002
"14",3,3,0.470588235294118,0.0666666666666667,0.4,0.529411764705882,"AQUE_1",2002
"15",4,3,0.25,0.111111111111111,0.117647058823529,0.75,"AQUE_2",2002
"16",5,3,0.214285714285714,0.0769230769230769,0.125,0.785714285714286,"AQUE_3",2002
"17",6,3,0.238095238095238,0.15,0.0952380952380952,0.761904761904762,"AQUE_4",2002
"18",7,3,0.25,0.157894736842105,0.1,0.75,"AQUE_5",2002
"19",9,3,0.285714285714286,0.153846153846154,0.133333333333333,0.714285714285714,"BULL_1",2002
"20",10,3,0.266666666666667,0.111111111111111,0.166666666666667,0.733333333333333,"BULL_3",2002
"21",11,3,0.266666666666667,0.153846153846154,0.117647058823529,0.733333333333333,"BULL_6",2002
"22",12,3,0.230769230769231,0.111111111111111,0.125,0.769230769230769,"GOLB_1",2002
"23",13,3,0.25,0.133333333333333,0.0909090909090909,0.75,"GOLB_2",2002
"24",14,3,0.285714285714286,0.142857142857143,0.125,0.714285714285714,"IVEE_1",2002
"25",15,3,0.266666666666667,0.0909090909090909,0.153846153846154,0.733333333333333,"IVEE_2",2002
"26",21,3,0.272727272727273,0.19047619047619,0.05,0.727272727272727,"MOHK_1",2002
"27",22,3,0.277777777777778,0.176470588235294,0.105263157894737,0.722222222222222,"MOHK_2",2002
"28",23,3,0.1875,0.117647058823529,0.0588235294117647,0.8125,"NAPL_1",2002
"29",24,3,0.157894736842105,0.117647058823529,0,0.842105263157895,"NAPL_2",2002
"30",25,3,0.266666666666667,0.142857142857143,0.117647058823529,0.733333333333333,"NAPL_3",2002
"31",26,3,0.230769230769231,0.0769230769230769,0.133333333333333,0.769230769230769,"NAPL_4",2002
"32",27,3,0.2,0.117647058823529,0.0666666666666667,0.8,"NAPL_5",2002
"33",28,3,0.2,0.117647058823529,0.0769230769230769,0.8,"NAPL_6",2002
"34",29,3,0.1875,0.133333333333333,0,0.8125,"NAPL_7",2002
"35",30,3,0.222222222222222,0.142857142857143,0.0909090909090909,0.777777777777778,"NAPL_8",2002
"36",1,4,0.538461538461538,0.153846153846154,0.384615384615385,0.461538461538462,"ABUR_1",2003
"37",2,4,0.714285714285714,0.25,0.444444444444444,0.285714285714286,"ABUR_2",2003
"38",3,4,0.5,0.25,0.272727272727273,0.5,"AQUE_1",2003
"39",4,4,0.421052631578947,0.0625,0.333333333333333,0.578947368421053,"AQUE_2",2003
"40",5,4,0.4,0.133333333333333,0.266666666666667,0.6,"AQUE_3",2003
"41",6,4,0.4,0.0555555555555556,0.333333333333333,0.6,"AQUE_4",2003
"42",7,4,0.333333333333333,0.05,0.277777777777778,0.666666666666667,"AQUE_5",2003
"43",8,4,0.375,0.0588235294117647,0.3125,0.625,"AQUE_6",2003
"44",9,4,0.384615384615385,0.0909090909090909,0.266666666666667,0.615384615384615,"BULL_1",2003
"45",10,4,0.4,0.0833333333333333,0.294117647058824,0.6,"BULL_3",2003
"46",11,4,0.384615384615385,0.133333333333333,0.25,0.615384615384615,"BULL_6",2003
"47",12,4,0.4,0.0769230769230769,0.307692307692308,0.6,"GOLB_1",2003
"48",13,4,0.4375,0.125,0.31578947368421,0.5625,"GOLB_2",2003
"49",14,4,0.411764705882353,0.142857142857143,0.25,0.588235294117647,"IVEE_1",2003
"50",15,4,0.416666666666667,0.153846153846154,0.25,0.583333333333333,"IVEE_2",2003
"51",21,4,0.636363636363636,0.130434782608696,0.5,0.363636363636364,"MOHK_1",2003
"52",22,4,0.4,0.0952380952380952,0.3125,0.6,"MOHK_2",2003
"53",23,4,0.285714285714286,0.111111111111111,0.166666666666667,0.714285714285714,"NAPL_1",2003
"54",24,4,0.333333333333333,0.0526315789473684,0.277777777777778,0.666666666666667,"NAPL_2",2003
"55",25,4,0.25,0.133333333333333,0.111111111111111,0.75,"NAPL_3",2003
"56",26,4,0.333333333333333,0.0714285714285714,0.230769230769231,0.666666666666667,"NAPL_4",2003
"57",27,4,0.3125,0.117647058823529,0.176470588235294,0.6875,"NAPL_5",2003
"58",28,4,0.307692307692308,0.0833333333333333,0.214285714285714,0.692307692307692,"NAPL_6",2003
"59",29,4,0.25,0.0666666666666667,0.166666666666667,0.75,"NAPL_7",2003
"60",30,4,0.3125,0.0555555555555556,0.235294117647059,0.6875,"NAPL_8",2003
"61",1,5,0.777777777777778,0.555555555555556,0.222222222222222,0.222222222222222,"ABUR_1",2004
"62",2,5,0.857142857142857,0.428571428571429,0.428571428571429,0.142857142857143,"ABUR_2",2004
"63",3,5,0.416666666666667,0.333333333333333,0.0833333333333333,0.583333333333333,"AQUE_1",2004
"64",4,5,0.444444444444444,0.294117647058824,0.142857142857143,0.555555555555556,"AQUE_2",2004
"65",5,5,0.352941176470588,0.214285714285714,0.125,0.647058823529412,"AQUE_3",2004
"66",6,5,0.368421052631579,0.235294117647059,0.125,0.631578947368421,"AQUE_4",2004
"67",7,5,0.375,0.2,0.166666666666667,0.625,"AQUE_5",2004
"68",8,5,0.357142857142857,0.25,0.117647058823529,0.642857142857143,"AQUE_6",2004
"69",9,5,0.4,0.25,0.142857142857143,0.6,"BULL_1",2004
"70",10,5,0.461538461538462,0.294117647058824,0.153846153846154,0.538461538461538,"BULL_3",2004
"71",11,5,0.352941176470588,0.2,0.133333333333333,0.647058823529412,"BULL_6",2004
"72",12,5,0.384615384615385,0.222222222222222,0.153846153846154,0.615384615384615,"GOLB_1",2004
"73",13,5,0.375,0.1875,0.176470588235294,0.625,"GOLB_2",2004
"74",14,5,0.333333333333333,0.166666666666667,0.153846153846154,0.666666666666667,"IVEE_1",2004
"75",15,5,0.307692307692308,0.214285714285714,0.0833333333333333,0.692307692307692,"IVEE_2",2004
"76",21,5,0.578947368421053,0.421052631578947,0.2,0.421052631578947,"MOHK_1",2004
"77",22,5,0.388888888888889,0.235294117647059,0.133333333333333,0.611111111111111,"MOHK_2",2004
"78",23,5,0.318181818181818,0.181818181818182,0.142857142857143,0.681818181818182,"NAPL_1",2004
"79",24,5,0.277777777777778,0.142857142857143,0.125,0.722222222222222,"NAPL_2",2004
"80",25,5,0.266666666666667,0.0714285714285714,0.176470588235294,0.733333333333333,"NAPL_3",2004
"81",26,5,0.357142857142857,0.214285714285714,0.133333333333333,0.642857142857143,"NAPL_4",2004
"82",27,5,0.277777777777778,0.133333333333333,0.125,0.722222222222222,"NAPL_5",2004
"83",28,5,0.333333333333333,0.230769230769231,0.0769230769230769,0.666666666666667,"NAPL_6",2004
"84",29,5,0.352941176470588,0.1875,0.166666666666667,0.647058823529412,"NAPL_7",2004
"85",30,5,0.277777777777778,0.176470588235294,0.105263157894737,0.722222222222222,"NAPL_8",2004
"86",1,6,0.473684210526316,0.263157894736842,0.210526315789474,0.526315789473684,"ABUR_1",2005
"87",2,6,0.6,0.2,0.4,0.4,"ABUR_2",2005
"88",3,6,0.625,0.3125,0.3125,0.375,"AQUE_1",2005
"89",4,6,0.421052631578947,0.294117647058824,0.125,0.578947368421053,"AQUE_2",2005
"90",5,6,0.333333333333333,0.235294117647059,0.0714285714285714,0.666666666666667,"AQUE_3",2005
"91",6,6,0.368421052631579,0.3,0.0526315789473684,0.631578947368421,"AQUE_4",2005
"92",7,6,0.409090909090909,0.304347826086957,0.1,0.590909090909091,"AQUE_5",2005
"93",8,6,0.388888888888889,0.263157894736842,0.117647058823529,0.611111111111111,"AQUE_6",2005
"94",9,6,0.35,0.25,0.0714285714285714,0.65,"BULL_1",2005
"95",10,6,0.421052631578947,0.266666666666667,0.142857142857143,0.578947368421053,"BULL_3",2005
"96",11,6,0.294117647058824,0.1875,0.105263157894737,0.705882352941177,"BULL_6",2005
"97",12,6,0.357142857142857,0.266666666666667,0.0769230769230769,0.642857142857143,"GOLB_1",2005
"98",13,6,0.375,0.235294117647059,0.133333333333333,0.625,"GOLB_2",2005
"99",14,6,0.31578947368421,0.214285714285714,0.0909090909090909,0.68421052631579,"IVEE_1",2005
"100",15,6,0.3125,0.235294117647059,0.0666666666666667,0.6875,"IVEE_2",2005
"101",21,6,0.521739130434783,0.318181818181818,0.217391304347826,0.478260869565217,"MOHK_1",2005
"102",22,6,0.333333333333333,0.235294117647059,0.1,0.666666666666667,"MOHK_2",2005
"103",23,6,0.291666666666667,0.238095238095238,0.0476190476190476,0.708333333333333,"NAPL_1",2005
"104",24,6,0.235294117647059,0.2,0.0476190476190476,0.764705882352941,"NAPL_2",2005
"105",25,6,0.352941176470588,0.272727272727273,0.0625,0.647058823529412,"NAPL_3",2005
"106",26,6,0.294117647058824,0.2,0.0714285714285714,0.705882352941177,"NAPL_4",2005
"107",27,6,0.25,0.176470588235294,0.0588235294117647,0.75,"NAPL_5",2005
"108",28,6,0.333333333333333,0.272727272727273,0.0555555555555556,0.666666666666667,"NAPL_6",2005
"109",29,6,0.3,0.210526315789474,0.0952380952380952,0.7,"NAPL_7",2005
"110",30,6,0.3,0.25,0.0465367965367965,0.7,"NAPL_8",2005
"111",31,6,0.25,0.157894736842105,0.1,0.75,"SCDI_2",2005
"112",32,6,0.31578947368421,0.166666666666667,0.142857142857143,0.68421052631579,"SCDI_3",2005
"113",33,6,0.294117647058824,0.210526315789474,0.0588235294117647,0.705882352941177,"SCTW_2",2005
"114",34,6,0.263157894736842,0.2,0.0526315789473684,0.736842105263158,"SCTW_3",2005
"115",1,7,0.6,0.25,0.35,0.4,"ABUR_1",2006
"116",2,7,0.75,0.666666666666667,0.1,0.25,"ABUR_2",2006
"117",3,7,0.6,0.266666666666667,0.333333333333333,0.4,"AQUE_1",2006
"118",4,7,0.333333333333333,0.15,0.173913043478261,0.666666666666667,"AQUE_2",2006
"119",5,7,0.318181818181818,0.227272727272727,0.0952380952380952,0.681818181818182,"AQUE_3",2006
"120",6,7,0.32,0.208333333333333,0.12,0.68,"AQUE_4",2006
"121",7,7,0.272727272727273,0.117647058823529,0.15,0.727272727272727,"AQUE_5",2006
"122",8,7,0.333333333333333,0.157894736842105,0.176470588235294,0.666666666666667,"AQUE_6",2006
"123",9,7,0.31578947368421,0.142857142857143,0.166666666666667,0.68421052631579,"BULL_1",2006
"124",10,7,0.31578947368421,0.142857142857143,0.176470588235294,0.68421052631579,"BULL_3",2006
"125",11,7,0.285714285714286,0.125,0.151923076923077,0.714285714285714,"BULL_6",2006
"126",12,7,0.333333333333333,0.222222222222222,0.105263157894737,0.666666666666667,"GOLB_1",2006
"127",13,7,0.357142857142857,0.235294117647059,0.117647058823529,0.642857142857143,"GOLB_2",2006
"128",14,7,0.294117647058824,0.176470588235294,0.117647058823529,0.705882352941177,"IVEE_1",2006
"129",15,7,0.294117647058824,0.176470588235294,0.117647058823529,0.705882352941177,"IVEE_2",2006
"130",21,7,0.5,0.333333333333333,0.153846153846154,0.5,"MOHK_1",2006
"131",22,7,0.3,0.181818181818182,0.117647058823529,0.7,"MOHK_2",2006
"132",23,7,0.25,0.0833333333333333,0.173913043478261,0.75,"NAPL_1",2006
"133",24,7,0.238095238095238,0.15,0.0869565217391304,0.761904761904762,"NAPL_2",2006
"134",25,7,0.35,0.157894736842105,0.1875,0.65,"NAPL_3",2006
"135",26,7,0.333333333333333,0.15,0.176470588235294,0.666666666666667,"NAPL_4",2006
"136",27,7,0.31578947368421,0.176470588235294,0.136363636363636,0.68421052631579,"NAPL_5",2006
"137",28,7,0.347826086956522,0.157894736842105,0.181818181818182,0.652173913043478,"NAPL_6",2006
"138",29,7,0.263157894736842,0.181818181818182,0.0909090909090909,0.736842105263158,"NAPL_7",2006
"139",30,7,0.227272727272727,0.0869565217391304,0.136363636363636,0.772727272727273,"NAPL_8",2006
"140",31,7,0.263157894736842,0.19047619047619,0.0588235294117647,0.736842105263158,"SCDI_2",2006
"141",32,7,0.304347826086957,0.208333333333333,0.0952380952380952,0.695652173913043,"SCDI_3",2006
"142",33,7,0.25,0.105263157894737,0.136363636363636,0.75,"SCTW_2",2006
"143",34,7,0.3,0.166666666666667,0.130434782608696,0.7,"SCTW_3",2006
"144",1,8,0.611111111111111,0.277777777777778,0.333333333333333,0.388888888888889,"ABUR_1",2007
"145",2,8,0.444444444444444,0.230769230769231,0.2,0.555555555555556,"ABUR_2",2007
"146",3,8,0.6,0.333333333333333,0.266666666666667,0.4,"AQUE_1",2007
"147",4,8,0.31578947368421,0.105263157894737,0.2,0.68421052631579,"AQUE_2",2007
"148",5,8,0.294117647058824,0.117647058823529,0.166666666666667,0.705882352941177,"AQUE_3",2007
"149",6,8,0.296296296296296,0.166666666666667,0.12,0.703703703703704,"AQUE_4",2007
