"","SITE","YEAR","SEASON","sd_TEMP","TEMP_C"
"1","ABUR","2002","COLD",0.808353292862581,14.974332437276
"2","ABUR","2002","WARM",0.867780514131932,15.052044892916
"3","ABUR","2003","COLD",1.5496161559181,13.1596016142666
"4","ABUR","2003","WARM",1.35116298816967,15.2241137585569
"5","ABUR","2004","COLD",1.03684799755601,13.8153043849658
"6","ABUR","2004","WARM",1.779400749054,16.2185891901226
"7","ABUR","2005","COLD",1.39101614363351,13.8596575580386
"8","ABUR","2005","WARM",1.44445749313855,15.0572637002072
"9","ABUR","2006","COLD",1.30203209207657,13.2696533248378
"10","ABUR","2006","WARM",1.44125469169259,15.8115863696541
"11","ABUR","2007","COLD",0.987659889614895,12.9346527174857
"12","ABUR","2007","WARM",1.47638979470897,14.9967020664249
"13","ABUR","2008","COLD",1.12084003397863,12.6271234431382
"14","ABUR","2008","WARM",1.42857889824796,15.7527719894082
"15","ABUR","2009","COLD",0.910482943319327,12.957292991239
"16","ABUR","2009","WARM",1.49328213769194,15.4916747059405
"17","ABUR","2010","COLD",1.29476329253945,13.0634778354759
"18","ABUR","2010","WARM",1.50705882542701,14.3977172173613
"19","ABUR","2011","COLD",1.17202388618636,12.8344557057057
"20","ABUR","2011","WARM",1.40310218996693,14.983057063659
"21","ABUR","2012","COLD",1.23604459479994,13.2291293428467
"22","ABUR","2012","WARM",1.3738325294877,15.8234944441519
"23","ABUR","2013","COLD",1.22152803721601,13.4121026862786
"24","ABUR","2013","WARM",1.28490333108341,15.8235113156307
"25","ABUR","2014","COLD",1.83804546709101,14.7846014354344
"26","ABUR","2014","WARM",1.71178213240266,17.8851170006832
"27","ABUR","2015","COLD",1.46704317455539,15.2820502589454
"28","ABUR","2015","WARM",2.40742416122831,18.1817787520982
"29","ABUR","2016","COLD",1.07469536842703,14.529557788007
"30","ABUR","2016","WARM",1.57501529778227,16.073516036381
"31","ABUR","2017","COLD",0.990223366333463,13.8783237897399
"32","ABUR","2017","WARM",1.32166683337022,16.5713240372993
"33","ABUR","2018","COLD",1.56055672515912,13.9292810318665
"34","ABUR","2018","WARM",1.7816863510012,17.4439396533613
